xflr5 v6.43

Plane name :        Team7_Mothership
Polar name :        Prop_Analysis_Viscous
Freestream speed :  18.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000  -0.313729   0.008478   0.015196   0.023674  -0.000000  -0.000000   0.215778  -0.000000   0.000000   18.0000     0.3509
   -4.500     0.000  -0.273678   0.006823   0.014574   0.021397  -0.000000  -0.000000   0.207394   0.000000   0.000000   18.0000     0.3727
   -4.000     0.000  -0.233564   0.005375   0.013979   0.019354  -0.000000  -0.000000   0.198912   0.000000   0.000000   18.0000     0.4020
   -3.500     0.000  -0.193393   0.004135   0.013369   0.017503  -0.000000  -0.000000   0.190323   0.000000   0.000000   18.0000     0.4436
   -3.000     0.000  -0.153175   0.003103   0.012722   0.015826  -0.000000  -0.000000   0.181627   0.000000   0.000000   18.0000     0.5072
   -2.500     0.000  -0.112918   0.002282   0.012111   0.014393  -0.000000  -0.000000   0.172843   0.000000   0.000000   18.0000     0.6162
   -2.000     0.000  -0.072630   0.001670   0.011541   0.013212  -0.000000  -0.000000   0.163977   0.000000   0.000000   18.0000     0.8462
   -1.500     0.000  -0.032321   0.001270   0.011016   0.012286  -0.000000  -0.000000   0.155026   0.000000   0.000000   18.0000     1.6501
   -1.000     0.000   0.008001   0.001081   0.010588   0.011669  -0.000000  -0.000000   0.145993   0.000000   0.000000   18.0000    -5.6497
   -0.500     0.000   0.048328   0.001103   0.010284   0.011387  -0.000000   0.000000   0.136878   0.000000   0.000000   18.0000    -0.7671
    0.000     0.000   0.088651   0.001337   0.010067   0.011404  -0.000000   0.000000   0.127677   0.000000   0.000000   18.0000    -0.3265
    0.500     0.000   0.128961   0.001783   0.009955   0.011738  -0.000000   0.000000   0.118395   0.000000   0.000000   18.0000    -0.1613
    1.000     0.000   0.169250   0.002440   0.009943   0.012382  -0.000000   0.000000   0.109034   0.000000   0.000000   18.0000    -0.0748
    1.500     0.000   0.209510   0.003307   0.009997   0.013304  -0.000000   0.000000   0.099596   0.000000   0.000000   18.0000    -0.0216
    2.000     0.000   0.249730   0.004385   0.010080   0.014465  -0.000000   0.000000   0.090079   0.000000   0.000000   18.0000     0.0145
    2.500     0.000   0.289904   0.005672   0.010176   0.015848  -0.000000   0.000000   0.080484   0.000000   0.000000   18.0000     0.0405
    3.000     0.000   0.330022   0.007168   0.010264   0.017432  -0.000000   0.000000   0.070814   0.000000   0.000000   18.0000     0.0603
    3.500     0.000   0.370076   0.008871   0.010350   0.019221  -0.000000   0.000000   0.061070   0.000000   0.000000   18.0000     0.0757
    4.000     0.000   0.410057   0.010781   0.010440   0.021220  -0.000000   0.000000   0.051257   0.000000   0.000000   18.0000     0.0882
    4.500     0.000   0.449958   0.012896   0.010546   0.023442  -0.000000   0.000000   0.041378   0.000000   0.000000   18.0000     0.0984
    5.000     0.000   0.489768   0.015214   0.010682   0.025895  -0.000000   0.000000   0.031437   0.000000   0.000000   18.0000     0.1070
    5.500     0.000   0.529482   0.017733   0.010843   0.028577  -0.000000   0.000000   0.021438   0.000000   0.000000   18.0000     0.1143
    6.000     0.000   0.569089   0.020453   0.011027   0.031479  -0.000000   0.000000   0.011383   0.000000   0.000000   18.0000     0.1206
    6.500     0.000   0.608582   0.023370   0.011231   0.034601  -0.000000   0.000000   0.001275   0.000000   0.000000   18.0000     0.1262
    7.000     0.000   0.647952   0.026483   0.011460   0.037944  -0.000000   0.000000  -0.008884   0.000000   0.000000   18.0000     0.1310
    7.500     0.000   0.687191   0.029790   0.011705   0.041494  -0.000000   0.000000  -0.019090   0.000000   0.000000   18.0000     0.1353
    8.000     0.000   0.726292   0.033287   0.011962   0.045249  -0.000000   0.000000  -0.029342   0.000000   0.000000   18.0000     0.1392
    8.500     0.000   0.765246   0.036973   0.012248   0.049221  -0.000000   0.000000  -0.039633   0.000000   0.000000   18.0000     0.1427
    9.000     0.000   0.804045   0.040844   0.012589   0.053434  -0.000000   0.000000  -0.049958   0.000000   0.000000   18.0000     0.1458
    9.500     0.000   0.842682   0.044898   0.013010   0.057909  -0.000000   0.000000  -0.060308   0.000000   0.000000   18.0000     0.1487
   10.000     0.000   0.881148   0.049132   0.013526   0.062658  -0.000000   0.000000  -0.070679   0.000000   0.000000   18.0000     0.1514


