xflr5 v6.43

Plane name :        Team7_Mothership
Polar name :        Prop_Analysis_Viscous
Freestream speed :  18.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -12.500     0.000  -0.901113   0.056814   0.033300   0.090114   0.000000  -0.000000   0.331418  -0.000000  -0.000000   18.0000     0.2553
  -12.000     0.000  -0.863015   0.052307   0.030796   0.083102   0.000000  -0.000000   0.324176  -0.000000  -0.000000   18.0000     0.2574
  -11.500     0.000  -0.824732   0.047970   0.028889   0.076858   0.000000  -0.000000   0.316906  -0.000000  -0.000000   18.0000     0.2597
  -11.000     0.000  -0.786271   0.043807   0.027212   0.071019   0.000000  -0.000000   0.309592  -0.000000  -0.000000   18.0000     0.2624
  -10.500     0.000  -0.747640   0.039821   0.025666   0.065487   0.000000  -0.000000   0.302213  -0.000000  -0.000000   18.0000     0.2653
  -10.000     0.000  -0.708847   0.036016   0.024528   0.060544   0.000000  -0.000000   0.294852  -0.000000  -0.000000   18.0000     0.2686
   -9.500     0.000  -0.669899   0.032395   0.023400   0.055794   0.000000  -0.000000   0.287402  -0.000000  -0.000000   18.0000     0.2723
   -9.000     0.000  -0.630804   0.028959   0.022304   0.051263   0.000000  -0.000000   0.279841  -0.000000  -0.000000   18.0000     0.2765
   -8.500     0.000  -0.591570   0.025713   0.021287   0.047000   0.000000  -0.000000   0.272158  -0.000000  -0.000000   18.0000     0.2813
   -8.000     0.000  -0.552205   0.022658   0.020297   0.042955   0.000000  -0.000000   0.264367  -0.000000  -0.000000   18.0000     0.2868
   -7.500     0.000  -0.512718   0.019798   0.019309   0.039107   0.000000  -0.000000   0.256475  -0.000000  -0.000000   18.0000     0.2933
   -7.000     0.000  -0.473116   0.017133   0.018363   0.035496   0.000000  -0.000000   0.248499  -0.000000  -0.000000   18.0000     0.3008
   -6.500     0.000  -0.433408   0.014667   0.017446   0.032113   0.000000  -0.000000   0.240435  -0.000000  -0.000000   18.0000     0.3098
   -6.000     0.000  -0.393602   0.012401   0.016616   0.029017  -0.000000  -0.000000   0.232298  -0.000000  -0.000000   18.0000     0.3207
   -5.500     0.000  -0.353706   0.010338   0.015872   0.026209  -0.000000  -0.000000   0.224083  -0.000000   0.000000   18.0000     0.3340
   -5.000     0.000  -0.313729   0.008478   0.015173   0.023651  -0.000000  -0.000000   0.215776  -0.000000   0.000000   18.0000     0.3509
   -4.500     0.000  -0.273678   0.006823   0.014549   0.021372  -0.000000  -0.000000   0.207392   0.000000   0.000000   18.0000     0.3727
   -4.000     0.000  -0.233564   0.005375   0.013953   0.019328  -0.000000  -0.000000   0.198909   0.000000   0.000000   18.0000     0.4020
   -3.500     0.000  -0.193393   0.004135   0.013344   0.017479  -0.000000  -0.000000   0.190321   0.000000   0.000000   18.0000     0.4436
   -3.000     0.000  -0.153175   0.003103   0.012701   0.015805  -0.000000  -0.000000   0.181625   0.000000   0.000000   18.0000     0.5072
   -2.500     0.000  -0.112918   0.002282   0.012087   0.014369  -0.000000  -0.000000   0.172841   0.000000   0.000000   18.0000     0.6162
   -2.000     0.000  -0.072630   0.001670   0.011515   0.013186  -0.000000  -0.000000   0.163975   0.000000   0.000000   18.0000     0.8462
   -1.500     0.000  -0.032321   0.001270   0.010989   0.012259  -0.000000  -0.000000   0.155023   0.000000   0.000000   18.0000     1.6501
   -1.000     0.000   0.008001   0.001081   0.010564   0.011645  -0.000000  -0.000000   0.145991   0.000000   0.000000   18.0000    -5.6497
   -0.500     0.000   0.048328   0.001103   0.010259   0.011362  -0.000000   0.000000   0.136876   0.000000   0.000000   18.0000    -0.7671
    0.000     0.000   0.088651   0.001337   0.010040   0.011377  -0.000000   0.000000   0.127675   0.000000   0.000000   18.0000    -0.3265
    0.500     0.000   0.128961   0.001783   0.009929   0.011712  -0.000000   0.000000   0.118393   0.000000   0.000000   18.0000    -0.1613
    1.000     0.000   0.169250   0.002440   0.009919   0.012359  -0.000000   0.000000   0.109032   0.000000   0.000000   18.0000    -0.0748
    1.500     0.000   0.209510   0.003307   0.009977   0.013284  -0.000000   0.000000   0.099594   0.000000   0.000000   18.0000    -0.0216
